compound,concentration_mM,annealing_T,molecular_weight,C,H,Br,I,N,Hbond_donor,rotatable_bond,topPolar_area,heavy_atom,complexity,xlogP,param1_r,param2_r,xinterp_r,max_x_r,param1_g,param2_g,xinterp_g,max_x_g,date
OAI,15,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.4089,-25.7445,62.959,310.1,0.4664,-24.9239,53.4431,305.1,20190530
OAI,5,50,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.94898,-96.538,101.73,190.08,1.0563,-108.27,102.51,190.08,20190904
OAI,10,50,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.54227,-97.99,180.7,375.17,0.66808,-125.36,187.64,380.17,20190904
OAI,15,50,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.43711,-65.299,149.39,335.15,0.54374,-86.199,158.53,330.15,20190904
OAI,5,75,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,1.3724,-190.4,138.74,245.12,1.4291,-192.2,134.5,235.1,20190904
OAI,10,75,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.62362,-64.52,103.46,235.1,0.8351,-96.035,115,240.12,20190904
OAI,15,75,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.55312,-71.57,129.39,335.15,0.57425,-67.481,117.51,335.15,20190904
OAI,5,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.48503,-72.607,149.69,320.15,0.51624,-71.781,139.05,325.15,20190904
OAI,10,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.56939,-77.733,136.52,305.13,0.60179,-72.072,119.76,310.13,20190904
OAI,15,100,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.59814,-114.39,191.23,375.17,0.63673,-117.41,184.39,365.17,20190904
OAI,5,125,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.30367,-65.466,215.58,455.2,0.32935,-71.003,215.58,460.2,20190904
OAI,10,125,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.37959,-82.653,217.74,455.2,0.45021,-102.98,228.74,440.2,20190904
OAI,15,125,257.159,8,20,0,1,1,1,6,27.6,10,43.8,3.1,0.40382,-75.996,188.19,405.18,0.57481,-123.62,215.07,405.18,20190904
PEAI,5,100,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,0.626122799,-137.0364964,218.8652074,417.333333,0.887007299,-198.7883212,224.1112574,366.3,20191119
PEAI,5,125,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,1.096574958,-240.9230769,219.7050691,354.283333,1.387532847,-311.7678832,224.6922543,321.266667,20191119
PEAI,5,50,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,0.448377316,-102.4312184,228.4487077,432.35,0.639912409,-159.9021898,249.8813706,429.35,20191119
PEAI,5,75,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,0.535660252,-62.85069675,117.3331351,315.266667,0.538540146,-52.66423358,97.79072919,300.25,20191119
PEAI,10,100,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,0.380145985,-121.0072993,318.3179724,561.45,0.563430657,-191.9702815,340.7167842,558.45,20191119
PEAI,10,125,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,0.506861314,-109.5328467,216.1002304,411.333333,0.502335766,-103.4483837,205.9347366,390.316667,20191119
PEAI,10,50,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,0.520940795,-105.1727494,201.8900237,438.35,0.614081976,-121.9977541,198.6668861,432.35,20191119
PEAI,10,75,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,0.403905109,-90.44343066,223.9224722,465.366667,0.490510949,-109.4452555,223.125,438.35,20191119
PEAI,15,100,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,0.51319708,-199.3007299,388.3512545,543.433333,0.662375581,-269.7730591,407.281106,546.433333,20191119
PEAI,15,125,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,0.586747064,-170.6429705,290.828844,480.383333,0.63933643,-183.3443928,286.7729481,444.35,20191119
PEAI,15,50,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,0.47105046,-136.3338623,289.4251758,531.433333,0.468228592,-126.5543885,270.2833417,519.416667,20191119
PEAI,15,75,249.09,8,12,0,1,1,1,2,27.6,10,65,1.4,0.33882577,-60.04950809,177.2282792,489.4,1.20379562,-319.7080292,265.5833131,444.35,20191119
PhABr,5,100,174.041,6,8,1,0,1,1,0,27.6,8,46.1,0.9,1.252,-125.7552,100.4435,250.0833,1.364,-133.5564,97.9152,255.0833,20190530
PhABr,10,100,174.041,6,8,1,0,1,1,0,27.6,8,46.1,0.9,1.5185,-170.6543,112.3835,215.0667,1.5455,-169.432,109.6293,210.0667,20190530
PhABr,15,100,174.041,6,8,1,0,1,1,0,27.6,8,46.1,0.9,0.493,-43.2593,87.7471,265.0833,0.4958,-41.1746,83.0551,265.0833,20190530
PhAI,5,100,221.041,6,8,0,1,1,1,0,27.6,8,46.1,0.9,2.8529,-54.4645,19.0912,80.0167,3.1132,-52.9214,16.9991,75.0167,20190530
PhAI,10,100,221.041,6,8,0,1,1,1,0,27.6,8,46.1,0.9,0.8143,-78.8986,96.893,250.0833,0.9493,-93.2912,98.2788,260.0833,20190530
