Concentration (mM),Annealing T,Molecular Weight,# C atom,# H atom,# Br atom,# I atom,# N atom,# H-bond Donor,# Rotatable Bond,Top. Polar Surface Area,# Heavy Atom,Complexity,Partition Coeff.
15,100,266.267,12,28,1,0,1,0,8,0,14,80.2,3.9
5,75,266.267,12,28,1,0,1,0,8,0,14,80.2,3.9
10,75,266.267,12,28,1,0,1,0,8,0,14,80.2,3.9
15,75,266.267,12,28,1,0,1,0,8,0,14,80.2,3.9
5,125,266.267,12,28,1,0,1,0,8,0,14,80.2,3.9
10,125,266.267,12,28,1,0,1,0,8,0,14,80.2,3.9
15,125,266.267,12,28,1,0,1,0,8,0,14,80.2,3.9
5,50,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
10,50,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
15,50,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
5,75,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
10,75,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
15,75,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
5,100,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
10,100,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
15,100,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
5,125,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
10,125,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
15,125,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
5,50,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
5,50,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
10,50,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
15,50,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
5,75,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
10,75,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
15,75,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
5,100,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
10,100,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
15,100,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
5,125,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
10,125,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
15,125,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
10,75,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
10,75,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
10,75,312.267,12,28,0,1,1,0,8,0,14,80.2,3.9
